"","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","tipo_veh","color_veh","causa_acc","num_hecho","zona_ocu","modelo_veh","marca_veh","mupio_ocu","g_hora","g_modelo_veh","g_hora_5","areag_ocu","sexo_pil","edad_pil","mayor_menor","estado_pil","corre_base","edad_quinquenales","g_edad"
"6698",5,3,2016,6,2,1,99,99,5,5752,99,9999,999,110,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"6699",5,3,2016,6,2,22,4,99,2,920,99,9999,999,2206,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"6700",5,3,2016,6,3,1,4,7,2,914,18,9999,999,101,1,6,1,1,NA,NA,NA,NA,NA,NA,NA
"6701",5,3,2016,6,4,1,2,1,1,912,1,9999,28,101,1,6,1,1,NA,NA,NA,NA,NA,NA,NA
"6702",5,3,2016,6,7,1,4,1,4,916,10,9999,27,101,2,6,1,1,NA,NA,NA,NA,NA,NA,NA
"6703",5,3,2016,6,7,3,4,1,5,5758,99,2015,46,301,2,5,1,1,NA,NA,NA,NA,NA,NA,NA
"6704",5,3,2016,6,8,19,12,2,1,921,99,1994,50,1906,2,3,1,2,NA,NA,NA,NA,NA,NA,NA
"6705",5,3,2016,6,9,2,3,10,1,930,99,1985,56,201,2,2,1,1,NA,NA,NA,NA,NA,NA,NA
"6706",5,3,2016,6,10,1,14,2,1,913,4,1991,28,101,2,3,1,1,NA,NA,NA,NA,NA,NA,NA
"6707",5,3,2016,6,14,1,1,9,5,5750,18,1999,999,101,3,3,2,1,NA,NA,NA,NA,NA,NA,NA
"6708",5,3,2016,6,15,11,3,2,1,926,99,9999,48,1102,3,6,2,2,NA,NA,NA,NA,NA,NA,NA
"6709",5,3,2016,6,16,1,12,6,2,919,99,9999,999,109,3,6,2,2,NA,NA,NA,NA,NA,NA,NA
"6710",5,3,2016,6,16,19,99,99,5,5754,99,9999,999,1904,3,6,2,2,NA,NA,NA,NA,NA,NA,NA
"6711",5,3,2016,6,17,1,99,99,5,5751,7,9999,999,101,3,6,2,1,NA,NA,NA,NA,NA,NA,NA
"6712",5,3,2016,6,17,17,99,99,5,5756,99,9999,999,1705,3,6,2,2,NA,NA,NA,NA,NA,NA,NA
"6713",5,3,2016,6,18,3,3,2,1,933,99,9999,999,301,4,6,3,1,NA,NA,NA,NA,NA,NA,NA
"6714",5,3,2016,6,18,13,1,6,2,928,99,9999,27,1317,4,6,3,1,NA,NA,NA,NA,NA,NA,NA
"6715",5,3,2016,6,18,14,14,1,5,5757,99,2015,6,1413,4,5,3,2,NA,NA,NA,NA,NA,NA,NA
"6716",5,3,2016,6,18,19,99,99,1,922,99,9999,999,1905,4,6,3,2,NA,NA,NA,NA,NA,NA,NA
"6717",5,3,2016,6,19,4,3,3,1,932,99,1993,56,401,4,3,3,1,NA,NA,NA,NA,NA,NA,NA
"6718",5,3,2016,6,19,6,3,99,1,924,99,9999,999,608,4,6,3,2,NA,NA,NA,NA,NA,NA,NA
"6719",5,3,2016,6,19,17,3,99,2,931,99,9999,69,1712,4,6,3,1,NA,NA,NA,NA,NA,NA,NA
"6720",5,3,2016,6,20,12,1,2,1,927,99,1985,21,1222,4,2,3,2,NA,NA,NA,NA,NA,NA,NA
"6721",5,3,2016,6,21,10,4,1,2,925,99,9999,35,1001,4,6,3,1,NA,NA,NA,NA,NA,NA,NA
